N_TRA,P7_2,P7_3,P7_4_01,P7_4_02,P7_4_03,P7_4_04,P7_4_05,P7_4_06,P7_4_07,P7_4_08,P7_4_09,P7_4_10,P7_5C_D,P7_5D_H,P7_5D_M,tiempo,P7_6,P7_7,P7_8,P7_9,P7_10,P7_11,P7_12,P7_12A,UPM_DIS,FAC_TRA
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,2,2,2,0,0,15,15,2,2,1,2,NA,NA,2,9,4171,4415
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,4017,324
2,48,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,9,4017,1618
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,3,3,2,2,1,2,NA,NA,2,9,4017,3236
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,15,15,2,2,1,1,2,NA,2,9,4017,324
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,20,20,6,6,2,1,2,NA,6,1,4017,324
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,15,15,2,2,1,2,NA,NA,2,9,4017,324
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,1,0,3,0,180,5,5,1,1,2,NA,5,3,4167,818
2,51,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,2,NA,1,2,NA,NA,2,9,4167,2249
9,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,4167,204
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,3,2,2,0,0,30,30,5,5,1,1,2,NA,2,8,4167,1431
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,0,40,40,1,1,1,2,NA,NA,2,9,4168,409
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,1,2,3,3,2,2,1,0,0,25,25,1,2,1,2,NA,NA,2,9,4171,201
7,51,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,10,10,2,NA,1,2,NA,NA,1,10,4171,201
9,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,30,30,2,NA,1,2,NA,NA,1,10,4171,201
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,1,30,90,3,1,2,2,NA,NA,2,8,4016,8369
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,0,15,15,3,2,1,2,NA,NA,2,8,4169,5209
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,6,30,390,4,2,2,2,NA,NA,4,5,4169,723
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,4,2,1,2,NA,NA,2,8,4169,723
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,8,4169,723
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,1,1,2,NA,NA,1,10,4169,868
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,25,25,2,2,1,2,NA,NA,2,9,4014,997
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,9,4014,997
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,1,3,3,3,0,0,3,3,2,NA,1,2,NA,NA,2,8,4015,1891
19,51,Líneas de atención telefónica,3,3,3,3,3,1,3,3,3,3,0,0,5,5,6,6,2,1,2,NA,6,1,4169,434
19,51,Líneas de atención telefónica,3,3,3,3,3,1,3,3,3,3,0,0,4,4,6,6,2,1,2,NA,6,1,4169,434
19,51,Líneas de atención telefónica,3,3,3,3,3,1,3,3,3,3,0,0,5,5,6,6,2,1,2,NA,6,1,4169,434
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,9,1,2,2,3,3,2,2,2,0,0,40,40,3,2,1,2,NA,NA,2,9,4170,1231
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,2,0,120,2,2,1,2,NA,NA,2,9,4170,615
