N_TRA,P7_2,P7_3,P7_4_01,P7_4_02,P7_4_03,P7_4_04,P7_4_05,P7_4_06,P7_4_07,P7_4_08,P7_4_09,P7_4_10,P7_5C_D,P7_5D_H,P7_5D_M,tiempo,P7_6,P7_7,P7_8,P7_9,P7_10,P7_11,P7_12,P7_12A,UPM_DIS,FAC_TRA
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,2,2,2,1,2,0,1,33,93,5,2,1,2,NA,NA,4,5,4010,471
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,20,20,1,1,1,2,NA,NA,1,10,4010,471
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,4,4,2,NA,1,2,NA,NA,2,9,4010,5185
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,1,NA,1,2,NA,NA,1,10,4011,14465
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,2,2,2,2,2,0,0,30,30,2,1,1,2,NA,NA,1,10,4011,1315
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,2,2,2,2,0,1,0,60,1,1,1,2,NA,NA,1,10,4011,1753
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,1,0,0,5,5,2,2,1,2,NA,NA,1,10,4011,19286
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,1,0,60,1,2,1,2,NA,NA,1,10,4011,1753
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,14,14,1,1,1,2,NA,NA,1,10,4011,1315
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,2,NA,2,2,NA,NA,3,6,4011,14465
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,6,6,2,2,1,2,NA,NA,5,2,4011,1315
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,2,2,2,2,2,2,0,2,0,120,6,3,1,2,NA,NA,4,5,4011,1315
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,1,2,2,2,2,2,0,3,0,180,6,6,1,2,NA,NA,6,1,4011,1315
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,1,1,1,NA,1,2,NA,NA,1,10,4012,3273
4,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,15,15,2,NA,1,2,NA,NA,2,9,4012,982
2,48,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,2,2,2,2,2,0,0,7,7,2,2,1,2,NA,NA,1,10,4012,1637
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,20,20,1,1,1,2,NA,NA,1,10,4012,327
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,10,10,1,1,1,2,NA,NA,1,10,4012,327
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,10,10,1,1,1,2,NA,NA,1,10,4012,327
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,10,10,1,1,1,2,NA,NA,1,10,4012,327
5,3,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,1,2,2,2,2,2,2,0,1,0,60,2,1,1,2,NA,NA,1,10,4012,655
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,10,10,1,1,1,2,NA,NA,1,10,4013,1435
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,2,2,2,2,0,5,30,330,2,3,1,2,NA,NA,2,9,4013,143
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,2,NA,1,2,NA,NA,2,9,4013,430
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,15,15,1,1,1,2,NA,NA,2,9,4013,1148
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,2,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,4013,287
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,9,4013,2296
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,3,2,2,2,0,2,0,120,4,3,1,2,NA,NA,3,6,4013,574
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,10,10,1,NA,1,2,NA,NA,1,10,4014,665
4,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,1,2,3,1,2,2,0,0,4,4,6,3,1,1,2,NA,4,5,4014,332
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,9,2,2,2,3,2,9,2,0,3,0,180,4,2,1,1,2,NA,4,5,4014,1662
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,15,15,2,2,1,2,NA,NA,2,9,4014,332
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,30,30,2,3,2,1,1,1,3,7,4014,997
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,20,20,2,2,1,2,NA,NA,2,8,4014,997
2,51,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,1,1,2,NA,NA,1,10,4148,4737
9,51,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,7,7,1,1,1,2,NA,NA,2,9,4148,474
2,51,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,6,6,2,2,1,2,NA,NA,2,9,4148,6947
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,2,2,3,3,2,1,2,0,3,0,180,2,2,1,2,NA,NA,2,8,4148,632
2,51,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,2,NA,1,2,NA,NA,1,10,4148,1579
19,48,Líneas de atención telefónica,3,3,3,3,3,1,3,3,3,2,0,0,15,15,5,5,2,1,1,2,6,1,4015,172
19,30,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,3,3,2,2,1,2,NA,NA,2,9,4015,172
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,8,4015,1719
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,45,45,2,2,1,2,NA,NA,2,9,4015,344
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,2,0,0,1,1,2,2,1,2,NA,NA,2,9,4015,344
9,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,1,0,1,30,90,2,2,1,2,NA,NA,2,9,4150,286
2,51,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,1,2,0,0,20,20,2,2,1,2,NA,NA,2,9,4150,1145
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,2,0,120,2,2,1,2,NA,NA,3,7,4150,5727
2,48,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,1,1,2,NA,NA,1,10,4150,1718
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,1,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,4150,859
2,81,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,10,10,2,NA,1,2,NA,NA,2,9,4151,1825
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,2,0,0,5,5,4,3,1,1,2,NA,5,2,4151,365
2,51,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,2,NA,1,2,NA,NA,1,10,4151,2007
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,1,2,3,3,2,2,2,0,0,40,40,2,2,1,2,NA,NA,1,10,4151,182
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,1,2,3,3,2,2,2,0,0,35,35,1,1,1,2,NA,NA,1,10,4151,182
19,48,Líneas de atención telefónica,3,3,3,3,3,9,3,3,3,2,0,1,0,60,2,2,1,2,NA,NA,2,8,4130,308
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,1,1,2,0,0,25,25,2,2,1,2,NA,NA,2,8,4130,3383
19,48,Líneas de atención telefónica,3,3,3,3,3,1,3,3,3,3,0,0,7,7,4,4,1,2,NA,NA,3,6,4130,308
2,51,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,1,1,2,NA,1,2,NA,NA,2,9,4130,1538
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,9,2,3,3,1,2,1,0,1,0,60,3,3,1,2,NA,NA,2,8,4130,154
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,3,1,0,4,0,240,3,3,1,2,NA,NA,3,7,4130,154
2,51,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,1,1,2,NA,1,2,NA,NA,2,9,4130,1692
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,2,2,1,2,NA,NA,2,8,4152,1372
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,0,20,20,1,1,1,2,NA,NA,1,10,4152,125
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,9,2,2,2,2,3,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,8,4152,998
4,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,1,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,4153,355
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,1,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,4153,355
9,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,2,NA,1,2,NA,NA,2,9,4153,355
19,83,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,2,2,2,2,1,1,1,3,6,1,4153,355
2,51,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,4,4,2,NA,1,2,NA,NA,2,9,4153,3902
4,51,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,4,4,1,NA,1,2,NA,NA,1,10,4153,355
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,2,2,3,3,1,2,1,0,0,40,40,3,2,1,2,NA,NA,3,7,4153,532
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,9,4153,532
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,6,6,1,2,1,2,NA,NA,2,9,4154,4003
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,2,3,3,2,2,2,0,7,0,420,5,2,1,2,NA,NA,2,8,4154,364
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,9,4154,1456
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,9,4154,364
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,2,1,2,NA,NA,2,9,4154,4003
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,0,20,20,2,2,1,2,NA,NA,2,8,4154,364
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,9,4154,1820
9,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,1,10,4154,364
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,0,3,3,2,3,1,2,NA,NA,2,8,4154,2002
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,2,2,2,2,0,0,15,15,3,3,1,2,NA,NA,3,7,4155,7124
4,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,1,3,3,2,1,1,0,3,0,180,4,4,1,2,NA,NA,4,4,4155,712
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,1,3,3,1,1,1,0,4,0,240,4,4,1,2,NA,NA,4,4,4155,712
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,1,1,2,NA,NA,2,8,4155,1069
9,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,2,0,120,4,2,1,1,2,NA,3,6,4155,534
9,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,1,0,60,3,2,1,2,NA,NA,2,9,4155,534
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,4020,153
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,15,75,2,2,1,2,NA,NA,2,8,4020,153
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,15,15,2,2,1,2,NA,NA,2,9,4020,153
9,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,30,30,1,NA,1,2,NA,NA,1,10,4021,327
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,20,20,2,3,1,2,NA,NA,3,7,4021,6548
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,1,30,90,6,6,1,1,2,NA,6,1,4021,655
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,3,1,2,NA,NA,3,6,4021,655
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,2,0,120,5,6,1,1,2,NA,6,1,4021,655
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,20,20,2,2,1,2,NA,NA,2,8,4021,3601
4,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,10,10,2,NA,1,2,NA,NA,2,9,4021,655
5,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,10,10,2,NA,1,2,NA,NA,2,9,4021,655
13,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,4021,327
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,40,40,3,3,1,2,NA,NA,3,7,4021,327
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,1,NA,1,2,NA,NA,1,10,4021,3601
2,48,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,10,10,1,1,1,2,NA,NA,1,10,4022,4279
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,4022,4279
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,2,0,120,2,2,1,2,NA,NA,2,8,4022,428
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,2,30,150,2,2,1,2,NA,NA,2,8,4022,428
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,2,1,30,2970,2,2,1,2,NA,NA,2,8,4022,428
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,9,4022,428
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,25,25,2,2,1,2,NA,NA,2,9,4022,428
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,3,3,2,NA,1,2,NA,NA,1,10,4022,2140
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,2,0,120,3,3,1,2,NA,NA,3,7,4022,214
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,4,0,240,4,2,1,2,NA,NA,3,6,4022,214
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,20,20,1,1,1,2,NA,NA,1,10,4022,214
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,10,10,4,4,2,1,2,NA,4,5,4022,214
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,1,30,90,2,2,1,2,NA,NA,2,8,4022,214
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,1,NA,1,2,NA,NA,1,10,4022,4707
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,2,0,120,2,2,1,2,NA,NA,2,8,4022,1712
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,10,10,3,2,1,2,NA,NA,2,8,4023,446
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,3,3,1,NA,1,2,NA,NA,1,10,4023,2451
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,8,4023,223
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,8,4023,2006
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,1,30,90,2,3,1,2,NA,NA,2,8,4023,669
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,4023,2674
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,1,0,60,1,1,1,2,NA,NA,1,10,4023,669
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,2,2,2,NA,1,2,NA,NA,2,9,4024,3029
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,2,2,2,NA,1,2,NA,NA,2,8,4024,3029
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,3,2,2,2,0,0,15,15,2,2,1,2,NA,NA,3,6,4024,606
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,15,15,2,2,1,2,NA,NA,3,7,4024,1514
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,2,0,120,3,4,1,2,NA,NA,3,6,4024,606
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,1,2,0,1,0,60,5,2,1,2,NA,NA,2,8,4024,303
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,1,1,3,3,2,1,1,0,3,0,180,4,3,2,1,2,NA,5,2,4024,303
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,8,4025,589
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,30,90,2,2,1,2,NA,NA,2,8,4025,392
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,3,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,8,4025,1177
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,2,2,2,NA,1,2,NA,NA,2,8,4025,3925
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,3,0,180,2,3,1,2,NA,NA,2,8,4025,392
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,8,4025,392
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,20,20,2,2,1,2,NA,NA,2,8,4025,392
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,1,3,3,2,2,2,0,2,0,120,5,5,1,1,2,NA,6,1,4025,1570
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,1,1,2,NA,1,2,NA,NA,2,9,4026,2156
2,51,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,1,1,2,NA,1,2,NA,NA,2,9,4026,4312
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,1,2,2,3,3,2,1,2,0,1,0,60,2,2,1,2,NA,NA,2,8,4026,392
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,3,2,0,0,15,15,2,2,1,2,NA,NA,2,9,4026,392
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,3,2,0,0,15,15,1,1,1,2,NA,NA,1,10,4026,392
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,3,2,0,0,20,20,1,1,1,2,NA,NA,1,10,4026,392
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,3,2,0,0,30,30,1,1,1,2,NA,NA,1,10,4026,392
2,48,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,3,3,2,2,1,2,NA,NA,2,9,4026,2156
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,1,2,3,3,2,1,1,0,2,0,120,3,2,1,2,NA,NA,3,7,4026,392
19,50,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,5,5,3,1,2,2,NA,NA,2,9,4026,196
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,3,2,0,0,5,5,2,2,1,2,NA,NA,1,10,4027,446
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,1,2,0,0,20,20,2,3,1,1,2,NA,2,8,4027,3268
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,9,4027,2971
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,0,5,5,2,2,1,2,NA,NA,2,9,4028,8193
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,1,2,3,3,2,2,2,0,3,0,180,4,4,1,1,2,NA,4,5,4028,745
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,0,5,5,2,1,1,2,NA,NA,2,9,4028,11172
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,1,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,4028,2234
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,1,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,9,4028,4469
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,1,2,0,0,40,40,2,2,1,2,NA,NA,2,8,4028,1490
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,1,1,0,0,15,15,2,2,1,2,NA,NA,2,8,4029,3811
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,1,1,2,0,11,0,660,3,3,1,1,2,NA,3,6,4029,381
